r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 2,Raul Porrata,Decision - Unanimous,Guilherme Bravo 27-30.,Dave Tirelli 27-30.,Sal D'amato 28-29.,Rafa Garcia ,0,24 of 52,0,0 of 2,0%,0:23,21 of 49,16 of 44,4 of 4,1 of 1,21 of 49,0 of 0,Vinc Pichel ,0,32 of 70,0,0 of 1,0%,0:00,32 of 70,12 of 43,13 of 19,7 of 8,29 of 67,3 of 3
Round 3,Raul Porrata,Decision - Unanimous,Guilherme Bravo 27-30.,Dave Tirelli 27-30.,Sal D'amato 28-29.,Rafa Garcia ,0,33 of 51,0,1 of 2,50%,0:46,31 of 47,26 of 41,5 of 6,0 of 0,27 of 42,3 of 4,Vinc Pichel ,0,35 of 75,0,0 of 2,0%,0:01,34 of 74,13 of 43,12 of 21,9 of 10,33 of 71,1 of 3
Round 1,Horacio Lopez Villanueva,Decision - Split,Mike Bell 28-29.,Miguel Jimenez 29-28.,Sal D'amato 28-29.,MarQuel Mederos ,0,23 of 35,0,0 of 0,---,0:00,23 of 35,9 of 19,4 of 4,10 of 12,21 of 33,2 of 2,Austin Hubbard ,0,19 of 41,0,0 of 3,0%,0:50,17 of 39,10 of 28,4 of 7,3 of 4,15 of 37,2 of 2
Round 2,Horacio Lopez Villanueva,Decision - Split,Mike Bell 28-29.,Miguel Jimenez 29-28.,Sal D'amato 28-29.,MarQuel Mederos ,0,6 of 11,0,0 of 1,0%,0:05,6 of 11,3 of 7,1 of 1,2 of 3,6 of 11,0 of 0,Austin Hubbard ,0,18 of 35,0,1 of 2,50%,4:12,3 of 9,2 of 8,1 of 1,0 of 0,2 of 8,1 of 1
Round 3,Horacio Lopez Villanueva,Decision - Split,Mike Bell 28-29.,Miguel Jimenez 29-28.,Sal D'amato 28-29.,MarQuel Mederos ,0,28 of 35,0,0 of 0,---,1:28,15 of 22,9 of 15,2 of 2,4 of 5,5 of 11,2 of 2,Austin Hubbard ,0,25 of 45,0,1 of 4,25%,2:32,6 of 17,4 of 15,1 of 1,1 of 1,5 of 15,0 of 0
Round 1,Marc Goddard,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Vito Paolillo 28-29.,Jan Blachowicz ,0,18 of 31,0,0 of 0,---,0:00,18 of 31,3 of 11,1 of 4,14 of 16,18 of 31,0 of 0,Carlos Ulberg ,0,15 of 32,0,0 of 0,---,0:00,15 of 32,2 of 16,1 of 4,12 of 12,15 of 32,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Vito Paolillo 28-29.,Jan Blachowicz ,0,16 of 33,0,0 of 0,---,0:00,16 of 33,6 of 16,2 of 8,8 of 9,16 of 33,0 of 0,Carlos Ulberg ,0,29 of 60,0,0 of 0,---,0:02,29 of 60,6 of 30,3 of 7,20 of 23,28 of 59,1 of 1
Round 3,Marc Goddard,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Vito Paolillo 28-29.,Jan Blachowicz ,0,25 of 67,0,0 of 1,0%,0:00,25 of 67,8 of 40,7 of 14,10 of 13,25 of 67,0 of 0,Carlos Ulberg ,0,31 of 65,0,0 of 1,0%,0:06,31 of 65,11 of 41,2 of 4,18 of 20,31 of 65,0 of 0
Round 1,Daniel Movahedi,Decision - Unanimous,Darryl Ransom 28-29.,David Lethaby 28-29.,Anders Ohlsson 28-29.,Gunnar Nelson ,0,13 of 20,0,1 of 1,100%,2:55,5 of 9,3 of 7,1 of 1,1 of 1,1 of 4,1 of 1,Kevin Holland ,1,31 of 51,1,0 of 1,0%,0:08,19 of 37,10 of 24,3 of 5,6 of 8,9 of 20,4 of 4
Round 2,Daniel Movahedi,Decision - Unanimous,Darryl Ransom 28-29.,David Lethaby 28-29.,Anders Ohlsson 28-29.,Gunnar Nelson ,0,7 of 11,0,1 of 5,20%,3:22,3 of 6,1 of 4,2 of 2,0 of 0,1 of 3,2 of 2,Kevin Holland ,0,73 of 82,0,0 of 0,---,0:29,17 of 23,9 of 15,6 of 6,2 of 2,3 of 7,6 of 7
Round 3,Daniel Movahedi,Decision - Unanimous,Darryl Ransom 28-29.,David Lethaby 28-29.,Anders Ohlsson 28-29.,Gunnar Nelson ,0,10 of 13,0,1 of 4,25%,3:12,7 of 9,6 of 8,1 of 1,0 of 0,0 of 0,4 of 5,Kevin Holland ,0,34 of 45,0,0 of 0,---,0:27,19 of 29,11 of 18,6 of 9,2 of 2,3 of 7,12 of 16
Round 1,Marc Goddard,Decision - Unanimous,Chris Lee 27-30.,Anders Ohlsson 27-30.,Clemens Werner 27-30.,Nathaniel Wood ,1,31 of 42,1,0 of 0,---,0:51,15 of 26,9 of 17,1 of 1,5 of 8,8 of 15,0 of 0,Morgan Charriere ,0,30 of 39,0,0 of 0,---,2:40,5 of 10,2 of 5,0 of 0,3 of 5,3 of 6,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Chris Lee 27-30.,Anders Ohlsson 27-30.,Clemens Werner 27-30.,Nathaniel Wood ,0,36 of 52,0,0 of 0,---,0:09,35 of 51,21 of 35,4 of 5,10 of 11,32 of 48,3 of 3,Morgan Charriere ,0,20 of 40,0,1 of 3,33%,0:44,18 of 38,9 of 28,8 of 8,1 of 2,16 of 36,2 of 2
Round 3,Marc Goddard,Decision - Unanimous,Chris Lee 27-30.,Anders Ohlsson 27-30.,Clemens Werner 27-30.,Nathaniel Wood ,0,22 of 42,0,0 of 0,---,0:00,22 of 42,12 of 28,0 of 2,10 of 12,22 of 41,0 of 1,Morgan Charriere ,0,19 of 46,0,0 of 0,---,0:00,19 of 46,10 of 31,5 of 10,4 of 5,18 of 45,1 of 1
Round 1,Lukasz Bosacki,Decision - Split,Darryl Ransom 28-29.,Anders Ohlsson 29-28.,Vito Paolillo 28-29.,Jai Herbert ,0,17 of 30,0,0 of 0,---,0:00,3 of 16,0 of 9,1 of 5,2 of 2,3 of 16,0 of 0,Chris Padilla ,0,29 of 44,0,0 of 1,0%,0:51,9 of 24,3 of 11,1 of 2,5 of 11,9 of 24,0 of 0
Round 2,Lukasz Bosacki,Decision - Split,Darryl Ransom 28-29.,Anders Ohlsson 29-28.,Vito Paolillo 28-29.,Jai Herbert ,0,12 of 47,0,0 of 1,0%,0:01,7 of 42,4 of 33,0 of 5,3 of 4,7 of 41,0 of 1,Chris Padilla ,0,32 of 51,0,0 of 3,0%,1:34,13 of 32,6 of 17,3 of 4,4 of 11,11 of 30,2 of 2
Round 3,Lukasz Bosacki,Decision - Split,Darryl Ransom 28-29.,Anders Ohlsson 29-28.,Vito Paolillo 28-29.,Jai Herbert ,0,30 of 66,0,0 of 0,---,0:00,28 of 64,15 of 50,9 of 9,4 of 5,27 of 63,1 of 1,Chris Padilla ,0,27 of 52,0,0 of 2,0%,1:16,17 of 42,11 of 32,2 of 3,4 of 7,15 of 40,2 of 2
Round 1,Daniel Movahedi,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Clemens Werner 28-29.,Lone'er Kavanagh ,0,11 of 23,0,0 of 0,---,0:39,11 of 23,1 of 12,2 of 3,8 of 8,10 of 19,1 of 4,Felipe dos Santos ,0,23 of 40,0,0 of 2,0%,0:43,15 of 32,3 of 12,5 of 12,7 of 8,13 of 30,2 of 2
Round 2,Daniel Movahedi,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Clemens Werner 28-29.,Lone'er Kavanagh ,0,42 of 66,0,2 of 3,66%,3:36,29 of 51,25 of 45,3 of 4,1 of 2,5 of 20,1 of 1,Felipe dos Santos ,0,45 of 58,0,0 of 1,0%,0:13,25 of 36,18 of 27,3 of 4,4 of 5,8 of 16,2 of 2
Round 3,Daniel Movahedi,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Clemens Werner 28-29.,Lone'er Kavanagh ,0,18 of 23,0,2 of 3,66%,2:18,18 of 23,11 of 14,6 of 8,1 of 1,14 of 17,1 of 1,Felipe dos Santos ,0,24 of 49,0,0 of 0,---,0:00,11 of 36,7 of 28,1 of 5,3 of 3,7 of 31,0 of 0
Round 1,Marc Goddard,Decision - Unanimous,Darryl Ransom 28-29.,Chris Lee 28-29.,Vito Paolillo 28-29.,Marcin Tybura ,0,21 of 56,0,1 of 1,100%,0:19,21 of 56,4 of 34,15 of 20,2 of 2,21 of 56,0 of 0,Mick Parkin ,0,24 of 46,0,0 of 0,---,0:19,23 of 45,13 of 34,1 of 1,9 of 10,22 of 44,1 of 1
Round 2,Marc Goddard,Decision - Unanimous,Darryl Ransom 28-29.,Chris Lee 28-29.,Vito Paolillo 28-29.,Marcin Tybura ,0,10 of 23,0,0 of 0,---,0:17,7 of 20,4 of 15,3 of 5,0 of 0,7 of 19,0 of 1,Mick Parkin ,0,41 of 69,0,1 of 1,100%,3:24,15 of 38,15 of 38,0 of 0,0 of 0,5 of 12,1 of 1
Round 3,Marc Goddard,Decision - Unanimous,Darryl Ransom 28-29.,Chris Lee 28-29.,Vito Paolillo 28-29.,Marcin Tybura ,0,33 of 79,0,0 of 1,0%,0:25,33 of 79,20 of 61,11 of 15,2 of 3,32 of 76,1 of 3,Mick Parkin ,0,37 of 77,0,0 of 0,---,0:00,22 of 62,19 of 58,0 of 1,3 of 3,22 of 62,0 of 0
Round 1,Jason Herzog,Decision - Unanimous,Ben Cartlidge 27-30.,Clemens Werner 27-30.,Anders Ohlsson 26-30.,Christian Leroy Duncan ,0,44 of 62,0,0 of 2,0%,2:50,16 of 34,6 of 17,5 of 10,5 of 7,8 of 23,8 of 11,Andrey Pulyaev ,0,14 of 22,0,0 of 1,0%,0:26,4 of 11,1 of 8,2 of 2,1 of 1,3 of 10,1 of 1
Round 2,Jason Herzog,Decision - Unanimous,Ben Cartlidge 27-30.,Clemens Werner 27-30.,Anders Ohlsson 26-30.,Christian Leroy Duncan ,0,31 of 60,0,0 of 0,---,0:42,28 of 57,10 of 33,5 of 9,13 of 15,27 of 56,1 of 1,Andrey Pulyaev ,0,14 of 38,0,0 of 1,0%,0:09,12 of 36,6 of 28,4 of 5,2 of 3,11 of 34,1 of 2
Round 3,Jason Herzog,Decision - Unanimous,Ben Cartlidge 27-30.,Clemens Werner 27-30.,Anders Ohlsson 26-30.,Christian Leroy Duncan ,0,41 of 65,0,0 of 0,---,2:04,29 of 50,19 of 37,7 of 9,3 of 4,12 of 26,17 of 24,Andrey Pulyaev ,0,8 of 18,0,0 of 2,0%,1:14,2 of 8,1 of 7,1 of 1,0 of 0,0 of 4,2 of 4
Round 1,Daniel Movahedi,Decision - Split,Ben Cartlidge 28-29.,Anders Ohlsson 29-28.,Vito Paolillo 28-29.,Nathan Fletcher ,0,20 of 43,0,0 of 0,---,0:20,15 of 38,8 of 31,3 of 3,4 of 4,11 of 30,3 of 5,Caolan Loughran ,0,24 of 48,0,3 of 5,60%,2:06,12 of 36,9 of 27,2 of 6,1 of 3,11 of 35,1 of 1
Round 2,Daniel Movahedi,Decision - Split,Ben Cartlidge 28-29.,Anders Ohlsson 29-28.,Vito Paolillo 28-29.,Nathan Fletcher ,0,64 of 73,0,1 of 5,20%,3:31,20 of 26,18 of 23,2 of 3,0 of 0,3 of 6,17 of 20,Caolan Loughran ,0,14 of 26,0,0 of 1,0%,0:43,3 of 14,3 of 12,0 of 1,0 of 1,1 of 10,2 of 4
Round 3,Daniel Movahedi,Decision - Split,Ben Cartlidge 28-29.,Anders Ohlsson 29-28.,Vito Paolillo 28-29.,Nathan Fletcher ,0,30 of 42,0,0 of 2,0%,0:23,24 of 36,15 of 25,7 of 9,2 of 2,11 of 21,13 of 15,Caolan Loughran ,0,27 of 54,0,3 of 6,50%,3:09,15 of 34,10 of 28,5 of 6,0 of 0,12 of 30,3 of 4
Round 1,Jason Herzog,Decision - Unanimous,Darryl Ransom 27-30.,David Lethaby 27-30.,Clemens Werner 27-30.,Guram Kutateladze ,0,7 of 21,0,0 of 3,0%,0:05,7 of 21,3 of 14,3 of 5,1 of 2,5 of 18,2 of 3,Kaue Fernandes ,0,26 of 50,0,0 of 0,---,0:07,26 of 50,14 of 34,5 of 6,7 of 10,26 of 50,0 of 0
Round 2,Jason Herzog,Decision - Unanimous,Darryl Ransom 27-30.,David Lethaby 27-30.,Clemens Werner 27-30.,Guram Kutateladze ,0,10 of 22,0,0 of 2,0%,0:00,9 of 21,6 of 18,3 of 3,0 of 0,6 of 18,3 of 3,Kaue Fernandes ,1,30 of 53,1,1 of 1,100%,1:05,30 of 53,15 of 37,7 of 7,8 of 9,17 of 35,4 of 4
Round 3,Jason Herzog,Decision - Unanimous,Darryl Ransom 27-30.,David Lethaby 27-30.,Clemens Werner 27-30.,Guram Kutateladze ,0,19 of 38,0,0 of 0,---,0:00,13 of 29,7 of 19,4 of 7,2 of 3,12 of 28,1 of 1,Kaue Fernandes ,1,23 of 46,1,1 of 1,100%,0:31,23 of 46,11 of 32,4 of 6,8 of 8,19 of 42,1 of 1
Round 1,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Derek Cleary 46-49.,Sal D'amato 46-49.,Marvin Vettori ,0,19 of 38,0,0 of 0,---,0:00,19 of 38,8 of 26,2 of 2,9 of 10,19 of 38,0 of 0,Roman Dolidze ,0,17 of 52,0,0 of 0,---,0:00,17 of 52,9 of 40,2 of 2,6 of 10,17 of 52,0 of 0
Round 2,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Derek Cleary 46-49.,Sal D'amato 46-49.,Marvin Vettori ,0,20 of 45,0,0 of 0,---,0:00,20 of 45,12 of 36,0 of 0,8 of 9,20 of 45,0 of 0,Roman Dolidze ,0,31 of 66,0,0 of 0,---,0:00,31 of 66,18 of 50,2 of 3,11 of 13,31 of 66,0 of 0
Round 3,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Derek Cleary 46-49.,Sal D'amato 46-49.,Marvin Vettori ,0,22 of 34,0,0 of 0,---,0:00,22 of 34,16 of 26,3 of 4,3 of 4,22 of 34,0 of 0,Roman Dolidze ,0,18 of 63,0,0 of 1,0%,0:15,18 of 62,12 of 50,2 of 8,4 of 4,17 of 61,1 of 1
Round 4,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Derek Cleary 46-49.,Sal D'amato 46-49.,Marvin Vettori ,0,21 of 43,0,0 of 0,---,0:00,21 of 43,12 of 32,0 of 1,9 of 10,21 of 43,0 of 0,Roman Dolidze ,0,37 of 71,0,0 of 0,---,0:00,37 of 71,24 of 51,4 of 7,9 of 13,36 of 70,1 of 1
Round 5,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Derek Cleary 46-49.,Sal D'amato 46-49.,Marvin Vettori ,0,30 of 61,0,0 of 0,---,0:00,29 of 60,24 of 53,3 of 4,2 of 3,28 of 58,1 of 2,Roman Dolidze ,0,38 of 88,0,0 of 0,---,0:00,38 of 87,22 of 62,10 of 16,6 of 9,36 of 83,2 of 4
Round 1,Kerry Hatley,Decision - Unanimous,Eric Colon 27-30.,Mike Bell 28-29.,Bryan Miner 28-29.,Alexander Hernandez ,0,24 of 70,0,1 of 1,100%,0:09,22 of 68,12 of 51,3 of 8,7 of 9,22 of 68,0 of 0,Kurt Holobaugh ,0,26 of 75,0,0 of 0,---,0:14,26 of 75,11 of 49,8 of 16,7 of 10,26 of 75,0 of 0
Round 2,Kerry Hatley,Decision - Unanimous,Eric Colon 27-30.,Mike Bell 28-29.,Bryan Miner 28-29.,Alexander Hernandez ,0,37 of 75,0,1 of 1,100%,2:01,30 of 62,17 of 47,7 of 7,6 of 8,21 of 51,2 of 3,Kurt Holobaugh ,0,48 of 91,0,0 of 0,---,0:18,38 of 78,23 of 58,11 of 16,4 of 4,31 of 68,7 of 10
Round 3,Kerry Hatley,Decision - Unanimous,Eric Colon 27-30.,Mike Bell 28-29.,Bryan Miner 28-29.,Alexander Hernandez ,0,26 of 41,0,2 of 3,66%,4:29,7 of 19,7 of 19,0 of 0,0 of 0,2 of 10,0 of 0,Kurt Holobaugh ,0,32 of 49,0,0 of 0,---,0:00,7 of 18,5 of 15,2 of 3,0 of 0,6 of 17,1 of 1
Round 1,Chris Tognoni,Decision - Unanimous,Eric Colon 27-30.,Chris Leben 27-30.,Tony Weeks 27-30.,SuYoung You ,0,20 of 24,0,2 of 3,66%,2:26,7 of 10,1 of 4,3 of 3,3 of 3,7 of 10,0 of 0,AJ Cunningham ,0,9 of 26,0,0 of 0,---,0:00,9 of 26,5 of 20,1 of 1,3 of 5,9 of 26,0 of 0
Round 2,Chris Tognoni,Decision - Unanimous,Eric Colon 27-30.,Chris Leben 27-30.,Tony Weeks 27-30.,SuYoung You ,0,36 of 47,0,1 of 3,33%,2:07,10 of 18,6 of 13,2 of 2,2 of 3,10 of 17,0 of 0,AJ Cunningham ,0,9 of 22,0,0 of 0,---,0:00,6 of 19,6 of 19,0 of 0,0 of 0,6 of 19,0 of 0
Round 3,Chris Tognoni,Decision - Unanimous,Eric Colon 27-30.,Chris Leben 27-30.,Tony Weeks 27-30.,SuYoung You ,0,21 of 25,0,2 of 4,50%,3:21,1 of 4,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,AJ Cunningham ,0,1 of 7,0,0 of 0,---,0:00,1 of 7,0 of 6,0 of 0,1 of 1,1 of 7,0 of 0
Round 1,Mark Smith,Decision - Split,Mike Bell 28-29.,Sal D'amato 29-28.,Derek Cleary 27-29.,Stephanie Luciano ,0,52 of 114,0,0 of 1,0%,0:15,42 of 104,21 of 76,13 of 19,8 of 9,41 of 102,1 of 2,Sam Hughes ,0,42 of 75,0,2 of 2,100%,0:47,35 of 68,21 of 48,6 of 11,8 of 9,32 of 64,3 of 4
Round 2,Mark Smith,Decision - Split,Mike Bell 28-29.,Sal D'amato 29-28.,Derek Cleary 27-29.,Stephanie Luciano ,0,20 of 47,0,0 of 0,---,0:00,18 of 44,9 of 35,7 of 7,2 of 2,16 of 41,2 of 3,Sam Hughes ,0,71 of 98,0,1 of 1,100%,3:19,13 of 29,8 of 24,1 of 1,4 of 4,9 of 25,0 of 0
Round 3,Mark Smith,Decision - Split,Mike Bell 28-29.,Sal D'amato 29-28.,Derek Cleary 27-29.,Stephanie Luciano ,0,29 of 112,0,1 of 1,100%,1:00,22 of 103,15 of 91,3 of 8,4 of 4,22 of 103,0 of 0,Sam Hughes ,0,33 of 60,0,0 of 5,0%,0:15,28 of 55,14 of 41,8 of 8,6 of 6,28 of 55,0 of 0
Round 1,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Derek Cleary 47-48.,Mike Bell 47-48.,Alex Pereira ,0,20 of 38,0,0 of 0,---,0:00,16 of 34,0 of 11,2 of 5,14 of 18,16 of 34,0 of 0,Magomed Ankalaev ,0,12 of 30,0,0 of 1,0%,0:22,9 of 27,1 of 18,3 of 4,5 of 5,9 of 27,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Derek Cleary 47-48.,Mike Bell 47-48.,Alex Pereira ,0,18 of 36,0,0 of 0,---,0:00,18 of 36,3 of 16,5 of 7,10 of 13,18 of 36,0 of 0,Magomed Ankalaev ,0,29 of 53,0,0 of 0,---,0:02,29 of 53,18 of 40,9 of 10,2 of 3,29 of 53,0 of 0
Round 3,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Derek Cleary 47-48.,Mike Bell 47-48.,Alex Pereira ,0,21 of 34,0,0 of 1,0%,0:00,21 of 34,4 of 16,2 of 3,15 of 15,20 of 33,1 of 1,Magomed Ankalaev ,0,18 of 41,0,0 of 1,0%,0:06,17 of 40,5 of 26,6 of 8,6 of 6,16 of 38,1 of 2
Round 4,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Derek Cleary 47-48.,Mike Bell 47-48.,Alex Pereira ,0,23 of 29,0,0 of 0,---,0:00,7 of 12,0 of 4,6 of 7,1 of 1,1 of 6,6 of 6,Magomed Ankalaev ,0,45 of 61,0,0 of 6,0%,3:50,19 of 24,7 of 11,6 of 7,6 of 6,7 of 11,12 of 13
Round 5,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Derek Cleary 47-48.,Mike Bell 47-48.,Alex Pereira ,0,15 of 22,0,0 of 0,---,0:00,14 of 21,4 of 10,2 of 3,8 of 8,14 of 21,0 of 0,Magomed Ankalaev ,0,23 of 39,0,0 of 4,0%,1:22,20 of 36,5 of 17,6 of 10,9 of 9,14 of 30,6 of 6
Round 1,Jason Herzog,Decision - Unanimous,Ben Cartlidge 28-29.,Chris Lee 28-29.,Ron McCarthy 28-29.,Justin Gaethje ,0,17 of 27,0,0 of 1,0%,0:14,12 of 21,7 of 15,1 of 1,4 of 5,9 of 15,3 of 6,Rafael Fiziev ,0,22 of 33,0,2 of 2,100%,0:40,21 of 32,6 of 16,13 of 14,2 of 2,9 of 20,7 of 7
Round 2,Jason Herzog,Decision - Unanimous,Ben Cartlidge 28-29.,Chris Lee 28-29.,Ron McCarthy 28-29.,Justin Gaethje ,1,34 of 65,1,0 of 0,---,0:43,21 of 52,16 of 47,4 of 4,1 of 1,11 of 39,5 of 5,Rafael Fiziev ,0,17 of 40,0,0 of 0,---,0:00,17 of 40,6 of 24,9 of 13,2 of 3,16 of 39,1 of 1
Round 3,Jason Herzog,Decision - Unanimous,Ben Cartlidge 28-29.,Chris Lee 28-29.,Ron McCarthy 28-29.,Justin Gaethje ,0,47 of 71,0,0 of 2,0%,0:35,39 of 61,33 of 55,4 of 4,2 of 2,21 of 38,18 of 23,Rafael Fiziev ,0,42 of 61,0,0 of 0,---,0:00,30 of 47,8 of 21,21 of 25,1 of 1,24 of 41,6 of 6
Round 1,Keith Peterson,Decision - Unanimous,Mike Bell 28-29.,Sal D'amato 28-29.,Ron McCarthy 28-29.,Amanda Lemos ,0,8 of 10,0,1 of 1,100%,2:40,3 of 5,2 of 4,0 of 0,1 of 1,2 of 3,0 of 0,Iasmin Lucindo ,0,11 of 17,0,0 of 0,---,0:47,0 of 4,0 of 3,0 of 0,0 of 1,0 of 4,0 of 0
Round 2,Keith Peterson,Decision - Unanimous,Mike Bell 28-29.,Sal D'amato 28-29.,Ron McCarthy 28-29.,Amanda Lemos ,0,10 of 16,0,1 of 3,33%,3:41,7 of 12,4 of 8,2 of 3,1 of 1,3 of 7,1 of 1,Iasmin Lucindo ,0,12 of 15,0,0 of 0,---,0:22,0 of 3,0 of 2,0 of 1,0 of 0,0 of 3,0 of 0
Round 3,Keith Peterson,Decision - Unanimous,Mike Bell 28-29.,Sal D'amato 28-29.,Ron McCarthy 28-29.,Amanda Lemos ,0,12 of 16,0,1 of 1,100%,1:37,2 of 4,2 of 4,0 of 0,0 of 0,2 of 4,0 of 0,Iasmin Lucindo ,0,17 of 24,0,1 of 1,100%,2:55,4 of 9,2 of 7,2 of 2,0 of 0,1 of 6,2 of 2
Round 1,Jason Herzog,Decision - Unanimous,Mike Bell 27-30.,Ben Cartlidge 27-30.,Derek Cleary 27-30.,Joshua Van ,0,37 of 51,0,0 of 0,---,0:06,17 of 29,10 of 22,6 of 6,1 of 1,14 of 25,3 of 3,Rei Tsuruya ,0,13 of 24,0,2 of 6,33%,1:49,6 of 14,6 of 13,0 of 1,0 of 0,6 of 14,0 of 0
Round 2,Jason Herzog,Decision - Unanimous,Mike Bell 27-30.,Ben Cartlidge 27-30.,Derek Cleary 27-30.,Joshua Van ,0,31 of 41,0,0 of 0,---,0:25,18 of 28,13 of 22,5 of 6,0 of 0,15 of 25,2 of 2,Rei Tsuruya ,0,19 of 43,0,1 of 9,11%,1:24,11 of 33,9 of 30,1 of 2,1 of 1,11 of 32,0 of 1
Round 3,Jason Herzog,Decision - Unanimous,Mike Bell 27-30.,Ben Cartlidge 27-30.,Derek Cleary 27-30.,Joshua Van ,0,59 of 77,0,0 of 0,---,0:19,24 of 40,16 of 30,8 of 10,0 of 0,24 of 40,0 of 0,Rei Tsuruya ,0,15 of 37,0,1 of 6,16%,0:36,15 of 37,13 of 35,1 of 1,1 of 1,15 of 37,0 of 0
Round 1,Chris Tognoni,Decision - Split,Derek Cleary 30-27.,Chris Lee 28-29.,David Lethaby 28-29.,Mairon Santos ,0,18 of 42,0,0 of 1,0%,0:02,18 of 42,5 of 21,4 of 10,9 of 11,17 of 41,1 of 1,Francis Marshall ,0,36 of 76,0,0 of 2,0%,0:35,16 of 45,10 of 39,1 of 1,5 of 5,16 of 44,0 of 0
Round 2,Chris Tognoni,Decision - Split,Derek Cleary 30-27.,Chris Lee 28-29.,David Lethaby 28-29.,Mairon Santos ,0,19 of 36,0,0 of 0,---,0:00,19 of 36,10 of 23,4 of 7,5 of 6,19 of 36,0 of 0,Francis Marshall ,0,8 of 40,0,2 of 2,100%,1:22,8 of 40,8 of 40,0 of 0,0 of 0,8 of 40,0 of 0
Round 3,Chris Tognoni,Decision - Split,Derek Cleary 30-27.,Chris Lee 28-29.,David Lethaby 28-29.,Mairon Santos ,0,41 of 76,0,0 of 0,---,0:00,21 of 51,14 of 36,6 of 13,1 of 2,21 of 51,0 of 0,Francis Marshall ,0,20 of 63,0,1 of 1,100%,0:38,15 of 58,14 of 57,0 of 0,1 of 1,15 of 58,0 of 0
Round 1,Marc Goddard,Decision - Unanimous,Eric Colon 28-29.,Chris Lee 28-29.,Tony Weeks 28-29.,Djorden Santos ,0,25 of 70,0,0 of 0,---,0:00,25 of 70,17 of 61,3 of 4,5 of 5,25 of 70,0 of 0,Ozzy Diaz ,0,20 of 36,0,0 of 0,---,0:00,20 of 36,16 of 30,0 of 1,4 of 5,20 of 36,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Eric Colon 28-29.,Chris Lee 28-29.,Tony Weeks 28-29.,Djorden Santos ,0,49 of 135,0,0 of 2,0%,0:02,49 of 135,45 of 128,2 of 5,2 of 2,49 of 135,0 of 0,Ozzy Diaz ,0,51 of 97,0,0 of 0,---,0:00,51 of 97,46 of 92,2 of 2,3 of 3,51 of 97,0 of 0
Round 3,Marc Goddard,Decision - Unanimous,Eric Colon 28-29.,Chris Lee 28-29.,Tony Weeks 28-29.,Djorden Santos ,0,60 of 143,0,1 of 1,100%,0:24,57 of 140,53 of 134,3 of 5,1 of 1,56 of 137,0 of 1,Ozzy Diaz ,0,65 of 129,0,0 of 0,---,0:00,64 of 128,57 of 118,7 of 10,0 of 0,59 of 122,5 of 6
Round 1,Jason Herzog,Decision - Split,Mike Bell 28-29.,Chris Lee 29-28.,Sal D'amato 28-29.,Nasrat Haqparast ,0,33 of 64,0,0 of 0,---,0:00,33 of 64,21 of 50,11 of 13,1 of 1,33 of 64,0 of 0,Esteban Ribovics ,0,36 of 107,0,0 of 0,---,0:00,36 of 107,28 of 94,3 of 7,5 of 6,36 of 107,0 of 0
Round 2,Jason Herzog,Decision - Split,Mike Bell 28-29.,Chris Lee 29-28.,Sal D'amato 28-29.,Nasrat Haqparast ,0,49 of 104,0,0 of 0,---,0:00,49 of 104,39 of 91,8 of 11,2 of 2,49 of 104,0 of 0,Esteban Ribovics ,0,62 of 183,0,0 of 0,---,0:00,62 of 183,53 of 170,6 of 10,3 of 3,62 of 183,0 of 0
